"id","original_name","ascii_name","ext","source_rel","ascii_rel"
"doc-001","【内部培训材料】上海市部分医疗服务价格项目立项指南落地实施政策培训-20250711.pdf","doc-001.pdf",".pdf","docs/医院材料学习/【内部培训材料】上海市部分医疗服务价格项目立项指南落地实施政策培训-20250711.pdf","docs/hospital-materials-ascii/doc-001.pdf"
"doc-002","25年中医治疗项目调整培训20250718.pdf","doc-002.pdf",".pdf","docs/医院材料学习/25年中医治疗项目调整培训20250718.pdf","docs/hospital-materials-ascii/doc-002.pdf"
"doc-003","7月25日沁宇堂检查第二次（沁宇堂）.pdf","doc-003.pdf",".pdf","docs/医院材料学习/7月25日沁宇堂检查第二次（沁宇堂）.pdf","docs/hospital-materials-ascii/doc-003.pdf"
"doc-004","7月25日沁宇堂检查第三次（沁宇堂）.pdf","doc-004.pdf",".pdf","docs/医院材料学习/7月25日沁宇堂检查第三次（沁宇堂）.pdf","docs/hospital-materials-ascii/doc-004.pdf"
"doc-005","保龙-王惠玲-优化管理之降本增效.pdf","doc-005.pdf",".pdf","docs/医院材料学习/保龙-王惠玲-优化管理之降本增效.pdf","docs/hospital-materials-ascii/doc-005.pdf"
"doc-006","栋安-张奇-医疗质控标准化体系分享.pdf","doc-006.pdf",".pdf","docs/医院材料学习/栋安-张奇-医疗质控标准化体系分享.pdf","docs/hospital-materials-ascii/doc-006.pdf"
"doc-007","奉贤-邵晓婷-强监管下医院的应对体系.pdf","doc-007.pdf",".pdf","docs/医院材料学习/奉贤-邵晓婷-强监管下医院的应对体系.pdf","docs/hospital-materials-ascii/doc-007.pdf"
"doc-008","关于规范调整本市中医类医疗服务价格项目的通知.pdf","doc-008.pdf",".pdf","docs/医院材料学习/关于规范调整本市中医类医疗服务价格项目的通知.pdf","docs/hospital-materials-ascii/doc-008.pdf"
"doc-009","关于印发2022年医保信息安全检查计划的通知.docx","doc-009.docx",".docx","docs/医院材料学习/关于印发2022年医保信息安全检查计划的通知.docx","docs/hospital-materials-ascii/doc-009.docx"
"doc-010","嘉定区定点医疗机构履约考核自查指标.docx","doc-010.docx",".docx","docs/医院材料学习/嘉定区定点医疗机构履约考核自查指标.docx","docs/hospital-materials-ascii/doc-010.docx"
"doc-011","沁宇堂7月25日 医保检查资料第一次.pdf","doc-011.pdf",".pdf","docs/医院材料学习/沁宇堂7月25日 医保检查资料第一次.pdf","docs/hospital-materials-ascii/doc-011.pdf"
"doc-012","上海市产科类医疗服务价格项目立项指南映射关系（参考）.pdf","doc-012.pdf",".pdf","docs/医院材料学习/上海市产科类医疗服务价格项目立项指南映射关系（参考）.pdf","docs/hospital-materials-ascii/doc-012.pdf"
"doc-013","上海市中医骨伤类医疗服务价格项目立项指南映射关系（参考）.pdf","doc-013.pdf",".pdf","docs/医院材料学习/上海市中医骨伤类医疗服务价格项目立项指南映射关系（参考）.pdf","docs/hospital-materials-ascii/doc-013.pdf"
"doc-014","上海市中医类（灸法、拔罐、推拿）医疗服务价格项目立项指南映射关系（参考）.pdf","doc-014.pdf",".pdf","docs/医院材料学习/上海市中医类（灸法、拔罐、推拿）医疗服务价格项目立项指南映射关系（参考）.pdf","docs/hospital-materials-ascii/doc-014.pdf"
"doc-015","上海市中医外治类医疗服务价格项目立项指南映射关系（参考）.pdf","doc-015.pdf",".pdf","docs/医院材料学习/上海市中医外治类医疗服务价格项目立项指南映射关系（参考）.pdf","docs/hospital-materials-ascii/doc-015.pdf"
"doc-016","上海市中医针法类医疗服务价格项目立项指南映射关系（参考）.pdf","doc-016.pdf",".pdf","docs/医院材料学习/上海市中医针法类医疗服务价格项目立项指南映射关系（参考）.pdf","docs/hospital-materials-ascii/doc-016.pdf"
"doc-017","数字赋能社会办医高质量发展——中医门诊治疗项目合规开展探索.pptx","doc-017.pptx",".pptx","docs/医院材料学习/数字赋能社会办医高质量发展——中医门诊治疗项目合规开展探索.pptx","docs/hospital-materials-ascii/doc-017.pptx"
"doc-018","王九佰-门诊医保管理体系20240726.pdf","doc-018.pdf",".pdf","docs/医院材料学习/王九佰-门诊医保管理体系20240726.pdf","docs/hospital-materials-ascii/doc-018.pdf"
"doc-019","协爱集团信息化建设的情况介绍2025.7.29.docx","doc-019.docx",".docx","docs/医院材料学习/协爱集团信息化建设的情况介绍2025.7.29.docx","docs/hospital-materials-ascii/doc-019.docx"
"doc-020","协爱医疗集团信息化（2025.8.1）.pdf","doc-020.pdf",".pdf","docs/医院材料学习/协爱医疗集团信息化（2025.8.1）.pdf","docs/hospital-materials-ascii/doc-020.pdf"
"doc-021","医保监督检查沟通会.docx","doc-021.docx",".docx","docs/医院材料学习/医保监督检查沟通会.docx","docs/hospital-materials-ascii/doc-021.docx"
"doc-022","医保体系-中医治疗新项目梳理20250725.pdf","doc-022.pdf",".pdf","docs/医院材料学习/医保体系-中医治疗新项目梳理20250725.pdf","docs/hospital-materials-ascii/doc-022.pdf"
"doc-023","医保体系-中医治疗新项目梳理20250725.pptx","doc-023.pptx",".pptx","docs/医院材料学习/医保体系-中医治疗新项目梳理20250725.pptx","docs/hospital-materials-ascii/doc-023.pptx"
